arm,member,nfeat,q_mass,auc,support
vanilla,0,10,0.191,0.8712500000000001,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_blood_pressure"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,1,10,0.184,0.8756250000000001,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,2,10,0.184,0.8756250000000001,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,3,10,0.19199999999999998,0.8725,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=2"", ""slope=3"", ""thal=3""]"
vanilla,4,10,0.195,0.875,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,5,10,0.254,0.8575000000000002,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,6,10,0.184,0.84125,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,7,10,0.177,0.8756250000000001,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=2"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,8,10,0.185,0.8818750000000002,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,9,10,0.191,0.86,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_blood_pressure"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,10,10,0.15799999999999997,0.8537500000000001,"[""age"", ""chest=1"", ""chest=3"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,11,10,0.23399999999999999,0.8618750000000001,"[""age"", ""chest=4"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,12,10,0.185,0.85875,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
